run,benchmark,dim,method,seed,rms,relative_rms,sample_max_error,domain_bellman_rms,domain_evaluation_rms,box_bellman_sample_max,objective_evaluations,elapsed_seconds,dtype,device,penalty_scale
reproduction/aligned/final_exact/boundary_decay_1d_bellman_seed1,boundary_decay_1d,1,bellman,1,0.0035986506559684663,0.01344582974602083,0.009984014150574622,0.015267768225118338,0.01908559398701438,0.20096127447216072,13662,43.28357770000002,float64,cpu,1.0
reproduction/aligned/final_exact/boundary_decay_1d_bellman_seed2,boundary_decay_1d,1,bellman,2,0.004086290701446651,0.015267825170324384,0.008840780540351728,0.011428902892997524,0.022976650948665054,0.15414239086827586,13665,44.583941699995194,float64,cpu,1.0
reproduction/aligned/final_exact/boundary_decay_1d_bellman_seed3,boundary_decay_1d,1,bellman,3,0.006928747427254727,0.025888247336688205,0.01861581245611127,0.015967765405243584,0.015992179882516437,0.29219738325459055,13668,47.085187099990435,float64,cpu,1.0
reproduction/aligned/final_exact/boundary_decay_1d_bellman_seed4,boundary_decay_1d,1,bellman,4,0.004726365583134028,0.01765937097641674,0.011065385028585409,0.009950271283311548,0.010189781399885914,0.19390811785301,13669,45.723565399996005,float64,cpu,1.0
reproduction/aligned/final_exact/boundary_decay_1d_bellman_seed5,boundary_decay_1d,1,bellman,5,0.004195006422236951,0.01567402549711574,0.010384000829862738,0.011540590125181254,0.031121136057441,0.19413607897434848,13659,45.82181359999231,float64,cpu,1.0
reproduction/aligned/final_exact/boundary_decay_1d_pi_seed1,boundary_decay_1d,1,pi,1,0.004707990130727806,0.017590713796773478,0.009639666892655302,0.014190061031601947,0.014289886681323015,0.22494962141719466,13657,44.78245590000006,float64,cpu,1.0
reproduction/aligned/final_exact/boundary_decay_1d_pi_seed2,boundary_decay_1d,1,pi,2,0.0010827371981235398,0.00404548855041191,0.0024715992465993153,0.007759800319750448,0.008315062450118569,0.10800396323437855,13653,43.42728879999777,float64,cpu,1.0
reproduction/aligned/final_exact/boundary_decay_1d_pi_seed3,boundary_decay_1d,1,pi,3,0.003090065015911295,0.011545574183248116,0.011086442262452617,0.019313462227089698,0.0196794331749944,0.293655303434893,13659,44.304570099993725,float64,cpu,1.0
reproduction/aligned/final_exact/boundary_decay_1d_pi_seed4,boundary_decay_1d,1,pi,4,0.01043678608098053,0.03899551864190005,0.024312872777127834,0.01074628448805749,0.016428720146522476,0.20989386902176888,13674,45.239416500000516,float64,cpu,1.0
reproduction/aligned/final_exact/boundary_decay_1d_pi_seed5,boundary_decay_1d,1,pi,5,0.0032786260771937247,0.01225010490020659,0.00800578919518613,0.013627012913637453,0.01513040883906615,0.23795707321856208,13669,44.37646300000779,float64,cpu,1.0
reproduction/aligned/final_exact/directional_exit_1d_bellman_seed1,directional_exit_1d,1,bellman,1,0.0074475595248973256,0.02106525056296419,0.024626126231017786,0.0036401345136166563,0.0036401345136166563,0.37327790901133895,13668,44.58039780000399,float64,cpu,1.0
reproduction/aligned/final_exact/directional_exit_1d_bellman_seed2,directional_exit_1d,1,bellman,2,0.005402034214912801,0.015279529341984347,0.01802854845714441,0.003310306876153888,0.003310306876153888,0.33719439559900355,13671,47.12488730000041,float64,cpu,1.0
reproduction/aligned/final_exact/directional_exit_1d_bellman_seed3,directional_exit_1d,1,bellman,3,0.007004067395502465,0.019810843290733078,0.02274474663298487,0.002566012275239129,0.002566012275239129,0.3898318928687612,13663,45.01032699999632,float64,cpu,1.0
reproduction/aligned/final_exact/directional_exit_1d_bellman_seed4,directional_exit_1d,1,bellman,4,0.010789249802808857,0.030517144538796264,0.03339754238901904,0.0039788959364217055,0.0039788959364217055,0.36007776292655524,13670,44.84930909999821,float64,cpu,1.0
reproduction/aligned/final_exact/directional_exit_1d_bellman_seed5,directional_exit_1d,1,bellman,5,0.009243677279332098,0.0261455282581302,0.029418605075449245,0.0031190745722488437,0.0031190745722488437,0.36483304728267996,13670,45.54819940000016,float64,cpu,1.0
reproduction/aligned/final_exact/directional_exit_1d_pi_seed1,directional_exit_1d,1,pi,1,0.009938890619254777,0.02811192317598597,0.02339525939677023,0.0029582883376553185,0.0029582883376553185,0.9559645712571219,13663,44.05295650000335,float64,cpu,1.0
reproduction/aligned/final_exact/directional_exit_1d_pi_seed2,directional_exit_1d,1,pi,2,0.007230858916936348,0.020452317885006493,0.023925793105214366,0.0024449808574965957,0.0024449808574965957,0.49724254182795224,13660,44.01797970000189,float64,cpu,1.0
reproduction/aligned/final_exact/directional_exit_1d_pi_seed3,directional_exit_1d,1,pi,3,0.005035559088990477,0.01424296289000234,0.018102504006210163,0.0017933552044230659,0.0017933552044230659,0.8971430287844395,13653,45.25302680001187,float64,cpu,1.0
reproduction/aligned/final_exact/directional_exit_1d_pi_seed4,directional_exit_1d,1,pi,4,0.004154371979030104,0.011750545447467642,0.00798055453155444,0.002830662199972543,0.002830662199972543,0.6329691514337608,13657,44.11898360001214,float64,cpu,1.0
reproduction/aligned/final_exact/directional_exit_1d_pi_seed5,directional_exit_1d,1,pi,5,0.010196193338840436,0.028839697991411662,0.03229543256007361,0.0018858534597109807,0.0018858534597109807,0.708390016553146,13659,45.35902350000106,float64,cpu,1.0
reproduction/aligned/final_cylinder/cylinder_10_bellman_seed1,sum_cylinder_nd,10,bellman,1,0.03629866598272557,0.07293584684232095,0.08811916798914332,0.0059719159378923805,0.005958119619459974,1.078986479919048,3794,19.718526399999973,float32,cuda,1.0
reproduction/aligned/final_cylinder/cylinder_10_bellman_seed2,sum_cylinder_nd,10,bellman,2,0.04331719023974097,0.08703834886022989,0.10592063972435284,0.006575318426569386,0.006614250258765828,1.0639402224402472,3793,18.428318100006436,float32,cuda,1.0
reproduction/aligned/final_cylinder/cylinder_10_bellman_seed3,sum_cylinder_nd,10,bellman,3,0.04111252786645923,0.08260846382607384,0.0977914700765854,0.005660844324341239,0.005765011190802518,1.0895498281294866,3793,10.251669399993261,float32,cuda,1.0
