elapsed_s,gpu_util_pct,memory_util_pct,memory_used_mib,power_w
0.000,84,22,3089,128.19
5.047,42,13,3089,102.31
10.125,41,21,3089,74.71
15.203,75,27,3088,128.36
20.282,81,29,3088,133.08
25.344,81,29,3088,132.66
30.407,75,28,3088,123.09
35.469,30,18,3088,94.35
40.547,44,7,3087,98.82
45.594,87,32,3088,140.19
50.625,69,37,3088,152.55
55.672,83,28,3087,147.29
60.719,86,33,3087,140.36
65.782,35,6,3088,62.64
70.844,83,28,3086,147.34
75.891,86,32,3086,139.59
80.938,69,36,3086,154.45
85.985,84,29,3088,147.85
91.032,29,6,2472,72.11
96.094,83,28,2840,132.55
101.141,84,29,2842,144.53
106.188,76,28,2840,126.10
111.250,44,23,2486,112.43
116.328,80,28,3001,130.05
121.391,81,23,3008,122.42
126.453,86,33,3088,132.60
131.516,44,23,3088,114.81
136.578,83,28,3181,135.09
141.641,84,29,3132,146.91
146.703,86,26,3105,118.59
151.750,44,7,3105,86.55
156.797,84,28,3106,148.21
161.860,87,32,3106,140.98
166.907,83,28,3105,147.92
171.969,83,31,3102,146.63
177.016,33,8,3104,99.68
182.078,84,29,3104,148.54
187.141,87,32,3103,145.53
192.188,86,32,3103,139.50
197.282,84,28,3100,148.33
202.328,85,26,3095,112.82
207.375,67,35,3094,136.12
212.438,84,28,3091,143.27
217.500,84,32,3092,138.18
222.547,69,36,3093,150.77
227.610,83,23,3093,126.00
232.672,85,25,3091,98.85
237.735,83,28,3090,147.03
242.782,83,27,3090,146.56
247.828,87,33,3090,140.82
252.891,83,29,3090,147.45
257.938,84,22,3115,125.59
263.000,72,38,2737,158.51
268.047,61,32,2733,145.46
273.094,70,37,2735,155.63
278.157,35,22,2734,94.96
283.219,34,18,2734,48.95
288.282,70,37,2734,138.13
293.328,70,36,2734,157.37
298.375,50,32,2732,119.44
303.438,71,37,2733,158.70
308.485,72,37,2733,158.72
313.532,71,37,2733,159.42
318.578,2,1,2731,44.60
323.625,72,37,2733,158.81
328.672,71,37,2732,159.20
333.719,50,32,2732,118.32
338.782,2,1,2109,29.51
343.844,3,9,2104,21.58
348.907,4,10,2104,20.35
353.969,7,18,2104,20.65
